startphrase,ending1,ending2,labels
राम के अभिषेक की बात सुनकर कौशल्या का अंग-अंग फूले नहीं समाया।,राम के अभिषेक की बात सुनकर कौशल्या बहुत प्रसन्न हुई ।,राम के अभिषेक की बात सुनकर कौशल्या बहुत दुखी हुई ।,0
राम के अभिषेक की बात सुनकर कौशल्या का अंग-अंग सूखने लगा ।,राम के अभिषेक की बात सुनकर कौशल्या बहुत प्रसन्न हुई ।,राम के अभिषेक की बात सुनकर कौशल्या बहुत दुखी हुई ।,1
उसने मेरा हाथ गर्मी के कम्बल सा पकड़े रखा। ,उसने मेरा हाथ बड़े प्यार से पकड़े रखा। ,उसने मेरा हाथ बड़ी नफरत से पकड़े रखा। ,0
उसने मेरा हाथ सर्दी के कम्बल सा पकड़े रखा। ,उसने मेरा हाथ बड़े प्यार से पकड़े रखा। ,उसने मेरा हाथ बड़ी नफरत से पकड़े रखा। ,1
बिज़नेस में इन दोनों का मेल शादी की तरह है। ,बिज़नेस यह दोनों चला लेंगे।  ,बिज़नेस यह दोनों नहीं चला सकेंगे।  ,0
बिज़नेस में इन दोनों का मेल तलाक की तरह है। ,बिज़नेस यह दोनों चला लेंगे।  ,बिज़नेस यह दोनों नहीं चला सकेंगे।  ,1
शमशेर का घर गुरु के लंगर की तरह हमेशा खुला था। ,शमशेर का दिल बहुत बढ़ा था। ,शमशेर का दिल बहुत छोटा था। ,0
शमशेर का घर बैंक की तिजोरी की तरह हमेशा खुला था। ,शमशेर का दिल बहुत बढ़ा था। ,शमशेर का दिल बहुत छोटा था। ,1
"आप उस पर भरोसा कर सकते हैं, वह तीर की तरह सीधा है।",वह भरोसे के लायक है। ,वह भरोसे के लायक बिलकुल नहीं है। ,0
"आप उस पर भरोसा कर सकते हैं, वह पहिये की तरह सीधा है।",वह भरोसे के लायक है।,वह भरोसे के लायक बिलकुल नहीं है।,1
वह चिड़िया की तरह खाती है। ,वह बहुत कम खाना खाती है। ,वह बहुत ज्यादा खाना खाती है। ,0
वह सुअर की तरह खाती है। ,वह बहुत कम खाना खाती है। ,वह बहुत ज्यादा खाना खाती है।,1
वह रेस में कछुए की तरह दौड़ी।,वह रेस में बहुत धीरे भागी। ,वह रेस में बहुत तेज भागी।,0
वह रेस में बिजली की तरह दौड़ी।  ,वह रेस में बहुत धीरे भागी।,वह रेस में बहुत तेज भागी।,1
जीवन का सफर गेंद सा है। ,जीवन का सफर बहुत छोटा है। ,जीवन का सफर बहुत लम्बा है। ,0
जीवन का सफर ब्रह्माण्ड सा है। ,जीवन का सफर बहुत छोटा है। ,जीवन का सफर बहुत लम्बा है। ,1
तुम्हारी सोच शीशे सी साफ़ है। ,तुहारी सोच बहुत अच्छी है।,तुहारी सोच बहुत अभद्र है।,0
तुम्हारी सोच राख सी साफ़ है। ,तुहारी सोच बहुत अच्छी है।,तुहारी सोच बहुत अभद्र है।,1
उसक बस्ता पलकों सा भारी है।,उसके बस्ते में किताबें नहीं है। ,उसका बस्ता किताबें से भरा है। ,0
उसक बस्ता पत्थरों सा भारी है।,उसके बस्ते में किताबें नहीं है। ,उसका बस्ता किताबें से भरा है। ,1
राधा शाम के पैरों की धुल है। ,राधा शाम से बहुत कम है।  ,राधा शाम के बराबर है।  ,0
राधा शाम के माथे की धुल है। ,राधा शाम से बहुत कम है।  ,राधा शाम के बराबर है।  ,1
रोशन में देवताओं सी विशेषता थी। ,रोशन बहुत अच्छा इंसान था। ,रोशन बहुत गंदा इंसान था।,0
रोशन में दानव सी विशेषता थी।,रोशन बहुत अच्छा इंसान था।,रोशन बहुत गंदा इंसान था।,1
ऋषभ लोमड़ी सा चलाक था। ,ऋषभ बहुत ज्यादा चलाक था।,ऋषभ बहुत ज्यादा भोला था।,0
ऋषभ बकरी सा चलाक था।,ऋषभ बहुत ज्यादा चलाक था।,ऋषभ बहुत ज्यादा भोला था।,1
उस फिल्म में शमशान सा हास्य है।,फिल्म में नकरात्मक सोच दिखाई गई है। ,फिल्म मेंसकरात्मक सोच दिखाई गई है।,0
उस फिल्म में चिड़ियाघर सा हास्य है।,फिल्म में नकरात्मक सोच दिखाई गई है।,फिल्म मेंसकरात्मक सोच दिखाई गई है।,1
श्रीकृष्ण के युग में हमारे देश में घी-दूध की नदियाँ बहती थीं।,श्रीकृष्ण के युग में सब खुश थे। ,श्रीकृष्ण के युग में सब दुखी थे। ,0
श्रीकृष्ण के युग में हमारे देश में शराब की नदियाँ बहती थीं।,श्रीकृष्ण के युग में सब खुश थे। ,श्रीकृष्ण के युग में सब दुखी थे। ,1
तुहारी जीभ नहीं जैसे ज़ेहर है। ,तुम हेमशा बुरी बात करते हो। ,तुम हेमशा अच्छी बात करते हो। ,0
तुहारी जीभ नहीं जैसे शहद है। ,तुम हेमशा बुरी बात करते हो। ,तुम हेमशा अच्छी बात करते हो। ,1
तुम्हारे लोगों का दिल समुन्दर सा विशाल है। ,तुम्हारे लोग दूसरों की मदद करते हैं। ,तुम्हारे लोग दूसरों की मदद नहीं करते हैं। ,0
तुम्हारे लोगों का दिल लोटे सा विशाल है। ,तुम्हारे लोग दूसरों की मदद करते हैं। ,तुम्हारे लोग दूसरों की मदद नहीं करते हैं। ,1
लगता है शर्मा जी संग्रहालय के दरबान की तरह व्यस्त हैं। ,शर्मा जी को ज्यादा काम नहीं है। ,शर्मा जी बहुत ज्यादा काम है।,0
लगता है शर्मा जी पप्रधान मंत्री की तरह व्यस्त हैं। ,शर्मा जी को ज्यादा काम नहीं है।,शर्मा जी बहुत ज्यादा काम है।,1
पण्डितजी का लड़का जैसे चिराग तले अँधेरा। ,पण्डितजी का लड़का बुद्धू है। ,पण्डितजी का लड़का बुद्धिमान है। ,0
पण्डितजी का लड़का जैसे चिराग तले सवेरा। ,पण्डितजी का लड़का बुद्धू है। ,पण्डितजी का लड़का बुद्धिमान है। ,1
रोहन एक बूढ़े की तरह लाचार है। ,रोहन शारीरक रूप से कमजोर है।,रोहन मानसिक रूप से कमजोर है।,0
रोहन एक युवा की तरह लाचार है। ,रोहन शारीरक रूप से कमजोर है।,रोहन मानसिक रूप से कमजोर है।,1
उसका कान में ढोल की आवाज बज रहा थी। ,उसका सर दर्द से फट रहा था। ,उसको मधुर संगीत सुनाई दे रहा था। ,0
उसका कान में विणा की आवाज बज रही थी। ,उसका सर दर्द से फट रहा था। ,उसको मधुर संगीत सुनाई दे रहा था। ,1
कमला ऑफिस में घोड़े बेचने की तरह सो गई। ,कमला थक कर सो गई। ,कमला सतर्क हो बैठी थी। ,0
कमला ऑफिस में सोने पे साँप की तरह सो गई। ,कमला थक कर सो गई। ,कमला सतर्क हो बैठी थी। ,1
डॉक्टर शैतान का रूप होता है। ,डॉक्टर जान बचाने वाले होते हैं। ,डॉक्टर जान से मारने वाले होते हैं।,0
डॉक्टर भगवान का रूप होता है। ,डॉक्टर जान बचाने वाले होते हैं।,डॉक्टर जान से मारने वाले होते हैं।,1
वह आदमी खच्चर जैसा जिद्दी है।,उसका निर्णय बदलना मुश्किल है। ,उसका निर्णय बदलना इतना मुश्किल नहीं है।,0
वह आदमी मोम जैसा जिद्दी है।,उसका निर्णय बदलना मुश्किल है।,उसका निर्णय बदलना इतना मुश्किल नहीं है।,1
अपने दोस्तों को मूक चलचित्र की तरह खामोश देख वो समझ गया कुछ गड़बड़ है। ,उसके दोस्त कुछ शैतानी प्लान बना रहे थे।,उसके दोस्त बहुत गंभीर सोच में दुबे थे।,0
अपने दोस्तों को कब्र की तरह खामोश देख वो समझ गया कुछ गड़बड़ है। ,उसके दोस्त कुछ शैतानी प्लान बना रहे थे।,उसके दोस्त बहुत गंभीर सोच में दुबे थे। ,1
यह शाल बोरी की तरह हलकी है। ,यह शाल बहुत पतले धागे से बानी है। ,यह शाल बहुत मोटे धागे से बानी है। ,0
