startphrase,ending1,ending2,labels
Tetangga baru gayanya setinggi langit.,Tetangga baru banyak gaya.,"Tetangga baru  mati gaya, norak, kampungan.",0
Tetangga baru gayanya setinggi sandal jepit.,Tetangga baru banyak gaya.,"Tetangga baru  mati gaya, norak, kampungan.",1
"Semenjak kamu pergi, hidupku bagai makan buah di surga.","Semenjak kamu pergi, hidupku menyenangkan.","Semenjak kamu pergi, hidupku menyedihkan, menderita.",0
"Semenjak kamu pergi, hidupku bagai menginjak bara api di neraka.","Semenjak kamu pergi, hidupku menyenangkan.","Semenjak kamu pergi, hidupku menyedihkan, menderita.",1
Tono membuka usaha dengan modal dengkul.,Tono membuka usaha dengan modal sedikit.,Tono membuka usaha dengan modal banyak.,0
Tono membuka usaha dengan modal sebakul.,Tono membuka usaha dengan modal sedikit.,Tono membuka usaha dengan modal banyak.,1
Dia adalah orang yang sering naik darah.,Dia adalah orang yang suka marah.,Dia adalah orang sabar.,0
Dia adalah orang yang lapang dada.,Dia adalah orang yang suka marah.,Dia adalah orang sabar.,1
Biasanya akhir tahun harga bahan pokok melambung tinggi.,Biasanya akhir tahun harga bahan pokok Mahal.,Biasanya akhir tahun harga bahan pokok murah.,0
Biasanya akhir tahun harga bahan pokok banting harga.,Biasanya akhir tahun harga bahan pokok Mahal.,Biasanya akhir tahun harga bahan pokok murah.,1
Berdiskusi dengan para pemimpin negeri ini bagaikan berdebat dengan tembok.,Berdiskusi dengan pemimpin negeri ini sia-sia belaka.,Berdiskusi dengan pemimpin negeri ini bermanfaat.,0
Berdiskusi dengan para pemimpin negeri ini bagaikan menyiram air pada tanaman.,Berdiskusi dengan pemimpin negeri ini sia-sia belaka.,Berdiskusi dengan pemimpin negeri ini bermanfaat.,1
Kamarnya seperti ubin masjid.,kamarnya sejuk.,kamarnya panas.,0
Kamarnya seperti padang masyar.,kamarnya sejuk.,kamarnya panas.,1
Damara bertingkah seperti anak kecil .,Damara bertingkah menggemaskan .,Damara bertingkah menyebalkan .,0
Damara bertingkah seperti merengek seperti anak kecil .,Damara bertingkah menggemaskan .,Damara bertingkah menyebalkan .,1
Kehadirannya bagaikan bulan di malam hari bagi kami.,Kehadirannya menjadi bermanfaat bagi kami.,Kehadirannya menjadi bencana bagi kami.,0
Kehadirannya bulan di siang hari bagi kami.,Kehadirannya menjadi bermanfaat bagi kami.,Kehadirannya menjadi bencana bagi kami.,1
Harapan orang tuaku setinggi menara Burj Khalifa di Dubai.,Harapan orang tuaku tinggi.,Harapan orang tuaku rendah.,0
Harapan orang tuaku setinggi lutut kurcaci Putri Salju.,Harapan orang tuaku tinggi.,Harapan orang tuaku rendah.,1
"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat pohon yang semakin berkurang kemampuannya untuk berbuah.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa.",0
"Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu ibarat buah yang semakin matang.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai mendekati menopause.","Bagi sebagian besar masyarakat Indonesia, perempuan yang belum menikah hingga usia 25 tahun itu dinilai dewasa.",1
Aku merasa seperti pengemis yang sudah satu minggu tidak makan apapun.,Aku merasa lapar sekali.,Aku merasa kenyang sekali.,0
Aku merasa seperti anak sultan yang sudah tidak mampu memasukkan makanan ke dalam mulutnya.,Aku merasa lapar sekali.,Aku merasa kenyang sekali.,1
Warna lipstik yang kau pakai bagai sepatu kaca di kaki Cinderella.,Warna lipstick yang kau pakai pas dan cocok.,Warna lipstick yang kau pakai tidak cocok.,0
Warna lipstik yang kau pakai bagai sepatu kaca di kaki raksasa.,Warna lipstick yang kau pakai pas dan cocok.,Warna lipstick yang kau pakai tidak cocok.,1
Perbuatanmu itu sudah seperti seorang muslim yang menato tubuhnya.,Perbuatanmu berdosa.,Perbuatanmu tidak ada yang salah.,0
Perbuatanmu itu sudah seperti seorang kristian yang merayakan natal.,Perbuatanmu berdosa.,Perbuatanmu tidak ada yang salah.,1
Pasangan ideal bagiku itu seperti majikan dengan pembantunya.,Pasangan ideal bagiku itu adalah salah satu ada yang lebih tinggi dari yang lain.,Pasangan ideal bagiku itu adalah setara.,0
Pasangan ideal bagiku itu seperti partner hidup.,Pasangan ideal bagiku itu adalah salah satu ada yang lebih tinggi dari yang lain.,Pasangan ideal bagiku itu adalah setara.,1
Pengalamanmu itu ibarat lukisan Van Gogh.,Pengalamanmu itu berharga.,Pengalamanmu itu tidak berharga.,0
Pengalamanmu itu ibarat kertas bungkus gorengan.,Pengalamanmu itu berharga.,Pengalamanmu itu tidak berharga.,1
Warna kulitnya seperti kopi susu.,Warna kulitnya sawo matang.,Warna kulitnya putih gading.,0
Warna kulitnya seperti salju.,Warna kulitnya sawo matang.,Warna kulitnya putih gading.,1
