startphrase,ending1,ending2,labels
राम के अभिषेक की बात सुनकर कौशल्या का अंग-अंग सूखने लगा ।,राम के अभिषेक की बात सुनकर कौशल्या बहुत प्रसन्न हुई ।,राम के अभिषेक की बात सुनकर कौशल्या बहुत दुखी हुई ।,1
उसके ऊपर अमृत सवार है। ,वह बहुत गुस्से में है। ,वह बहुत प्यार बाँट रहा है। ,1
शंकर ऐसे बात करता है जैसे वो भगवान हो। ,शंकर बहुत ज्ञान की बातें करता है। ,शंकर बहुत बुरी बातें करता है। ,0
मैं ड्राइवर बनना चाहता हूँ। ,मैं जमीन पर रहना चाहता हूँ। ,मैं आसमान पर रहना चाहता हूँ। ,0
मजदूर घड़ी की टिक टिक की तरह काम करते हैं। ,मजदूर बहुत तेजी से काम करते हैं। ,मजदूर धीरे धीरे काम करते हैं। ,1
नौकर चाय में जैसे नमक डाल लाया था। ,नौकर ने बिलकुल बकवास चाय बनाई थी। ,नौकर ने बहुत बढ़िया चाय बनाई थी। ,0
बादलों सा ऊँचा उठो। ,खूब तरक्की करो। ,थोड़ी तो तरक्की करो। ,0
युद्ध के मैदान में हमारे सैनिकों ने फ़ूलों पर पैर रखकर विजय प्राप्त की।,युद्ध में हमारे सैनिकों ने मुश्किलों से विजय प्राप्त की।,युद्ध में हमारे सैनिकों ने आसानी से विजय प्राप्त की।,1
पेंटर ने पूरा घर झोंपड़ी सा चमका दिया। ,पेंटर ने बहुत बढ़िया रंग किया। ,पेंटर ने बहुत घटिया रंग किया। ,1
उसके लिए पैसा कमाना ऑक्सीजन था।,पैसे कमाने ने उसे जीवित रखा।,पैसा कमाना उसे मार रहा था।,0
वह भक्षी सा उदार है। ,वह बहुत दानी है। ,वह दानी नहीं है। ,1
लेक्चर लेते समय वह रबर की तरह खड़ा था।,वह विश्वास से भरा हुआ था।,वह बहुत घबराया हुआ था।,0
वो साइकिल की तरह तेज़ है। ,उसकी गति धीमी थी। ,उसकी गति तेज़ थी। ,0
रोहन का लेखअंतरिक्ष की तरह याद रहेगा। ,रोहन का लेख कुछ समय बाद लोग भूल जायेंगे। ,रोहन का लेख हमेशा लोगों को याद रहेगा।  ,1
उसने सबको इडली की तरह कपड़ा दिया। ,उसने सबको अच्छा कपड़ा दिया। ,उसने कपड़े में छेद था। ,0
शर्मीला जेल के जेलर की तरह कुत्तों को खिला रही थी। ,शर्मीला बड़े प्यार से कुत्तों को खिला रही थी। ,शर्मीला बड़े गुस्से से कुत्तों को खिला रही थी। ,1
